drug,gene_symbol,block,relevant_tissues,modalities,expr_tau,expr_class,expr_top_tissue,expr_top_to_median,direct_target,pct_improvement_dsen,lto_pct_improvement
Linsitinib,UBE2U,tissue,LUNG,copy_number,0.023020536569749145,broad,PLEURA,1.0243594623408312,FALSE,2.23045644563242,0.3473477350227563
Elesclomol,KIT,shared,NA,rppa_total,0.41088670582052766,restricted,BONE,1.7225419869695722,FALSE,3.34292038992637,-0.6277039651830623
Bortezomib,LINGO2,shared,NA,copy_number,0.45587354774160127,restricted,AUTONOMIC_GANGLIA,1.8608165146044924,FALSE,4.5850689990372,NA
Elesclomol,CEACAM5,shared,NA,expression,0.47992659765332946,restricted,LARGE_INTESTINE,2.066116040004516,FALSE,3.34292038992637,-0.6277039651830623
UNC0638,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,2.6536222677786,3.2476041161885703
Lestauritinib,SRGN,shared,NA,expression,0.5380247880862851,restricted,FIBROBLAST,2.848983528701312,FALSE,6.10213528290296,6.18707375850848
BX796,ADAR,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,0.04253102741640013,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.043397410215513,FALSE,6.28084625572421,3.065794564749317
Ispinesib Mesylate,NFATC2,shared,NA,copy_number,0.3088953555530163,restricted,SKIN,1.4770728946440854,FALSE,5.11716142598801,2.597224861093527
GSK429286A,CDH1,shared,NA,rppa_total,0.3306991356054596,restricted,LARGE_INTESTINE,1.537450626051837,FALSE,1.24137740108784,1.8240820638936992
GSK429286A,CLDN7,shared,NA,rppa_total,0.28730128380520237,restricted,PROSTATE,1.3596623833832426,FALSE,1.24137740108784,1.8240820638936992
Cisplatin,GRM5,tissue,OVARY,copy_number,0.032524433972356034,broad,BILIARY_TRACT,1.0321686494315196,FALSE,3.44262341425372,2.4804187693642086
Amuvatinib,CAV1,shared,NA,expression;rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,2.20215730926549,2.2159380161717346
Seliciclib,ODZ4,shared,NA,copy_number,0.550862202805504,restricted,AUTONOMIC_GANGLIA,2.374979133071251,FALSE,5.2065508753192304,NA
AS601245,CDKN2B,shared,NA,copy_number,0.3097520255561454,restricted,CERVIX,1.464621419654788,FALSE,0.661114318459538,-0.05820868656522568
Crizotinib,MPDZ,shared,NA,copy_number,0.20825516996825744,restricted,AUTONOMIC_GANGLIA,1.1781733451069938,FALSE,10.9819142110902,NA
JNK Inhibitor VIII,MYB,shared,NA,expression,0.4898968449555603,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0283033725285575,FALSE,4.22947940369299,2.3446105878242722
JNK Inhibitor VIII,WWTR1,shared,NA,rppa_total,0.23071783146072808,restricted,KIDNEY,1.244301476752153,FALSE,4.22947940369299,2.3446105878242722
PD0325901,MS4A3,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,0.03922348188794076,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0394405372624556,FALSE,4.97995465677282,-4.246488908807473
AKT inhibitor VIII_repl_228,DNTT,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,0.031646269934233404,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0338115922084616,FALSE,9.46019571945078,5.289939736041245
PFI-1,CLDN7,shared,NA,rppa_total,0.28730128380520237,restricted,PROSTATE,1.3596623833832426,FALSE,2.678611852048,1.486776026686578
Omipalisib,CNTFR,shared,NA,copy_number,0.20972360909793164,restricted,AUTONOMIC_GANGLIA,1.270800998587922,FALSE,4.34993063150511,3.166341180621466
XMD15-27,LOC100506776,shared,NA,copy_number,0.47256423903327904,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8976050374482298,FALSE,1.90190307656748,-0.15373639838997294
Trametinib,ITGA2,shared,NA,rppa_total,0.2512738329105852,restricted,PANCREAS,1.2580756138911693,FALSE,8.31336960760879,-4.761352991175323
5-Fluorouracil,C9,tissue,LARGE_INTESTINE,copy_number,0.033052014583220386,broad,UPPER_AERODIGESTIVE_TRACT,1.0346126204686268,FALSE,10.3599555671561,3.1072259023703506
Ispinesib Mesylate,REEP1,shared,NA,copy_number,0.3420386580037726,restricted,AUTONOMIC_GANGLIA,1.5768197756541895,FALSE,5.11716142598801,2.597224861093527
IPA-3,AKR1B10,shared,NA,expression,0.4169804157384408,restricted,CERVIX,1.8541094951061845,FALSE,4.82426329849746,5.439494028351376
Selumetinib_repl_1498,ERBB3,shared,NA,rppa_total,0.32672832026827137,restricted,LARGE_INTESTINE,1.3889518132074594,FALSE,3.60177917555145,-17.178725350819747
Bortezomib,PKDREJ,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,mutation,0.031041131579596315,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.032558055349799,FALSE,4.5850689990372,NA
Temsirolimus,SPEF2,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.04469832150443738,broad,KIDNEY,1.044940229620527,FALSE,2.82234332956921,0.5837288249520409
CP466722,RNF114,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.04864568964593612,broad,BREAST,1.0418579852660388,FALSE,8.03413194698878,8.12396608484664
Bicalutamide_repl_150,CTNNA1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,0.0391358485392549,broad,PLEURA,1.0293396341081795,FALSE,2.88645358751291,-0.03272764746172984
MG-132,ATF7IP2,shared,NA,mutation,0.19467861190310032,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.236616473269349,FALSE,8.34316997182102,NA
Palbociclib,WT1,shared,NA,copy_number,0.3237493449160224,restricted,PLEURA,1.5705386441610594,FALSE,-0.682857296622192,0.49723205868349213
Nutlin-3a (-),CDKN1A,shared,NA,rppa_total,0.21640103797177754,restricted,FIBROBLAST,1.2866154308581088,FALSE,0.133448992567489,1.1225403690718692
Cisplatin,CTNNB1,tissue,LUNG,rppa_phospho,0.05605619611461893,broad,THYROID,1.0600318607541857,FALSE,3.44262341425372,2.4804187693642086
Palbociclib,WT1-AS,shared,NA,copy_number,0.20605262062087565,restricted,PLEURA,1.263783439215924,FALSE,-0.682857296622192,0.49723205868349213
AZD7762,C16ORF54,shared,NA,expression,0.6071524267657348,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.54983239371795,FALSE,8.65308477201097,0.31047237284638796
Refametinib,PLAT,shared,NA,expression,0.43199560322130603,restricted,SKIN,1.7244407782330036,FALSE,10.4566022903118,-11.402025370450845
AZD7762,LCP2,shared,NA,expression,0.5663141275892937,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.2994650311842433,FALSE,8.65308477201097,0.31047237284638796
THZ-2-49,DAAM1,shared,NA,copy_number,0.17560774031819143,restricted,UPPER_AERODIGESTIVE_TRACT,1.1989026642548044,FALSE,9.96462021963426,5.639373997444219
I-BET-762,WWTR1,shared,NA,rppa_total,0.23071783146072808,restricted,KIDNEY,1.244301476752153,FALSE,12.0704989562838,5.863833451953782
I-BET-762,EGFR,shared,NA,rppa_total,0.19058247762170852,restricted,OESOPHAGUS,1.2238213873804953,FALSE,12.0704989562838,5.863833451953782
Lapatinib,TGM2,shared,NA,rppa_total,0.3578732696305108,restricted,PANCREAS,1.5867184537743968,FALSE,3.29442211665721,NA
Tretinoin,TLE6,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05589228811509463,broad,ENDOMETRIUM,1.0532273626577162,FALSE,3.48672133722667,3.7326213689351166
CGP-082996,CDH9,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.03849195137015094,broad,SOFT_TISSUE,1.040215014029517,FALSE,5.90839913554929,NA
Talazoparib,LOC100506776,shared,NA,copy_number,0.47256423903327904,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8976050374482298,FALSE,9.91884930155864,6.892600950827124
CI-1040,ME3,shared,NA,copy_number,0.17242767788165303,restricted,PANCREAS,1.1799073318766475,FALSE,6.74349788988655,-7.657142851441467
Refametinib,RAB39B,shared,NA,expression,0.45193867965651324,restricted,AUTONOMIC_GANGLIA,1.969787255131088,FALSE,10.4566022903118,-11.402025370450845
BX-912,RAG1,shared,NA,expression,0.37418625261526745,restricted,SALIVARY_GLAND,1.598122573629259,FALSE,6.47729232929053,2.1807207170561504
AZD7762,HCLS1,shared,NA,expression,0.5935378983552286,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.5517359856526993,FALSE,8.65308477201097,0.31047237284638796
Navitoclax,HORMAD1,shared,NA,copy_number,0.4783227058467939,restricted,CERVIX,2.0246878126113397,FALSE,7.33644040164538,6.441587042087721
UNC0638,GMDS,shared,NA,copy_number,0.17757764233511075,restricted,LARGE_INTESTINE,1.2034847348001465,FALSE,2.6536222677786,3.2476041161885703
UNC0638_repl_245,PPP2R2A,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.054951771899961574,broad,BONE,1.059820070017256,FALSE,6.63685176764663,3.170862285232165
MG-132,BAI3,shared,NA,mutation,0.5460487271001223,restricted,AUTONOMIC_GANGLIA,2.225239166021525,FALSE,8.34316997182102,NA
Elesclomol,CTGF,shared,NA,expression,0.3742624287650668,restricted,FIBROBLAST,1.4694671698356478,FALSE,3.34292038992637,-0.6277039651830623
Refametinib,ITGA2,shared,NA,rppa_total,0.2512738329105852,restricted,PANCREAS,1.2580756138911693,FALSE,10.4566022903118,-11.402025370450845
