drug,method,block,gene_symbol,relevant_tissues,modalities,n_supporting_features,supporting_features,max_selection_count,max_abs_coef,signed_coef,expr_tau,expr_entropy,expr_top_tissue,expr_second_tissue,expr_top_median,expr_second_median,expr_median_tissue,expr_top_to_median,expr_class,target_type,target_pathway,direct_target,pct_improvement_dsen,lto_pct_improvement,dsen_shared_win_rate
5-Fluorouracil,DSEN,tissue,AMOTL2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,1,AMOTL2_Expr,177,0.0021843816149156358,0.0021843816149156358,0.11293354433542674,0.9961119521057304,FIBROBLAST,KIDNEY,10.505425,10.43173,9.75252425,1.0772006027054997,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ANKRD13D,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,ANKRD13D_CN,104,8.649575641053036e-4,8.649575641053036e-4,0.07714398383830133,0.9998581880616412,CERVIX,UPPER_AERODIGESTIVE_TRACT,5.485067,5.332563,5.045386499999999,1.0871450581635322,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ANXA7,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,1,Annexin_VII,125,0.004920977547685167,0.004920977547685167,0.07183670236994451,0.9998392483096752,CERVIX,PROSTATE,11.339295,10.955415,10.6070525,1.0690335510265458,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ARHGAP40,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,ARHGAP40_CN,129,0.005074541117281014,0.005074541117281014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ARHGEF18,PANCREAS,copy_number,1,ARHGEF18_CN,110,0.0010398782119280007,-0.0010398782119280007,0.05788158275570899,0.9999201218101258,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,URINARY_TRACT,10.054110000000001,9.9541,9.490857,1.059346906185606,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ATL1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,1,ATL1_Expr,114,0.0019098404796078958,0.0019098404796078958,0.3533847425214008,0.9941846802618245,AUTONOMIC_GANGLIA,FIBROBLAST,9.453174,8.720054,5.962422,1.585458728013549,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ATP1B1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,1,ATP1B1_Expr,112,0.0010342040702554637,0.0010342040702554637,0.10800753066876265,0.9971610018222388,BILIARY_TRACT,UPPER_AERODIGESTIVE_TRACT,12.264515,12.12571,11.534165,1.0633205784727373,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,BAIAP2L1,AUTONOMIC_GANGLIA,expression,1,BAIAP2L1_Expr,109,3.620145274805194e-4,3.620145274805194e-4,0.13000400413178692,0.9958359944820571,PANCREAS,BILIARY_TRACT,9.055646,9.045509,8.40312075,1.0776527280058423,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,BAX,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,1,Bax,149,0.004479475347810359,-0.004479475347810359,0.14159266101386073,0.9994413643044451,SMALL_INTESTINE,CERVIX,9.170313,8.457266,7.9147555,1.1586350330089161,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,BCAS4,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,BCAS4_CN,112,3.1308271596372375e-4,3.1308271596372375e-4,0.12891252051615865,0.999301763660541,CERVIX,SALIVARY_GLAND,7.5870074999999995,7.3143899999999995,6.6606725,1.1390752960755839,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,BIN2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,1,BIN2_Expr,130,0.0025504298280281546,-0.0025504298280281546,0.4795260140115585,0.9960464186672269,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SMALL_INTESTINE,7.7665165,4.713796,4.00441125,1.9394902309297026,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,C19ORF33,CENTRAL_NERVOUS_SYSTEM,expression,1,C19orf33_Expr,108,5.385346644973803e-4,-5.385346644973803e-4,0.35165866804015267,0.9727494372149654,CERVIX,PANCREAS,11.921005000000001,11.64234,9.2776295,1.2849192781410381,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,C7ORF10,LARGE_INTESTINE,copy_number,1,C7orf10_CN,152,0.003437855129496581,0.003437855129496581,0.3632132748599415,0.9963152798910698,FIBROBLAST,BONE,8.871385499999999,7.021176,5.5788205,1.5901901665414757,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,C9,LARGE_INTESTINE,copy_number,1,C9_CN,153,0.0035622167867700584,0.0035622167867700584,0.033052014583220386,0.9999624725501731,UPPER_AERODIGESTIVE_TRACT,PLEURA,3.705903,3.674561,3.58192325,1.0346126204686268,broad,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,CASC5,PANCREAS,copy_number,1,CASC5_CN,137,0.0025035961783890855,-0.0025035961783890855,0.06922042541109348,0.9997207724081923,SMALL_INTESTINE,SOFT_TISSUE,8.001954000000001,7.9618009999999995,7.45741125,1.0730203460349597,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,CAV1,AUTONOMIC_GANGLIA,expression,1,CAV1_Expr,113,4.217496588757873e-4,4.217496588757873e-4,0.21064458915956624,0.9903418134056724,SALIVARY_GLAND,UPPER_AERODIGESTIVE_TRACT,13.837914999999999,13.27177,11.9804525,1.1550410971538845,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
