"drug","status","n_samples","n_tissues","mse_en","mse_dsen","pct_improvement","alpha_en","alpha_dsen","lamrat_dsen","lambda_en","lambda_dsen"
"Dabrafenib","success",693,12,0.0172018317240092,0.0172271807487118,-0.147362357156866,1,0.8,2,0.016994045736066,0.00422730215504464
"Temozolomide","success",747,13,0.0009612376067112,0.000960606216321057,0.065685152738034,0.05,0.05,0.125,0.146643112994869,1.49518412976746
"Afatinib_repl_1377","success",751,13,0.0209764097007088,0.0191375978026987,8.76609450447525,1,0.1,2,0.0167755427414525,0.0320199881830422
"Bleomycin (50 uM)","success",794,14,0.054567368738274,0.050499871024955,7.45408438663816,0.05,0.05,4,0.250166930219031,0.068297916965678
"SN-38","success",766,13,0.034472835096459,0.0322269675757995,6.51489067950269,1,1,0.5,0.0148782476151751,0.0253921246242577
"Olaparib","success",744,13,0.0033110667737407,0.00313325712124698,5.37016208503827,0.05,0.1,4,0.086010145683933,0.0110410652271468
"Selumetinib_repl_1498","success",758,13,0.0242393774651699,0.0233663286153461,3.60177917555138,1,1,1,0.0141624741740523,0.00352553386028057
"Bicalutamide","success",705,12,0.000896285962269611,0.000891631178760159,0.519341338077543,0.05,0.05,0.5,0.300394368081323,0.117891442352464
"Refametinib","success",705,12,0.0226659523789829,0.0202958638834012,10.4566022903117,1,0.05,2,0.0136584292775026,0.0445210144895963
"Pictilisib_repl_1527","success",710,12,0.0195336365787173,0.0193128808225803,1.13013137746956,0.05,0.05,1,0.516875941562762,0.223645720401667
"Pevonedistat","success",499,9,0.0143195379124747,0.0137532317535782,3.9547795631255,0.05,0.15,2,0.166699134408083,0.0402217546094236
"Doxorubicin","success",688,12,0.0408342979456531,0.0401117830988931,1.76938231611469,0.8,1,0.125,0.023372467977432,0.172912769912396
"Etoposide","success",720,13,0.0476765596366027,0.0460470750865569,3.41778971147655,0.05,0.05,2,0.327803541147785,0.181421587534315
"Gemcitabine","success",685,12,0.0914793289511101,0.0882308433944861,3.55105966984093,1,1,1,0.0202097974013575,0.028343127281993
"Mitomycin-C","success",689,12,0.0430801560452443,0.0428150153097857,0.615459087892112,0.9,1,2,0.0190284549064153,0.00999963252182707
"Vinorelbine","success",720,13,0.0310646725740386,0.0302809938266442,2.52273300330656,0.05,1,0.125,0.313873028996477,0.154384197388692
"NSC-87877","success",691,12,0.00116535381744652,0.00115858411281901,0.580914098890384,0.05,0.05,4,0.151904971282932,0.0318944881691082
"Bicalutamide_repl_150","success",688,12,9.50773427515649e-05,9.23329793808004e-05,2.88645358751289,0.05,0.05,2,0.0837913330918687,0.00754159833779227
"QS11","success",689,12,0.00715691888203361,0.00713816102127145,0.26209408086544,0.15,1,1,0.0708944529810788,0.0141125981250332
"CP466722","success",760,13,0.0121935498985161,0.0112139040106474,8.03413194698883,0.05,0.05,4,0.105227308099033,0.0323913916504702
"Midostaurin","success",720,13,0.00676395013750186,0.00675833755883525,0.0829778243853877,0.05,0.05,1,0.134132506427064,0.172934135462837
"CHIR-99021_repl_154","success",717,13,0.00135477932694113,0.00134684313227158,0.585792424768365,0.05,0.05,4,0.178189017211388,0.0324016719946743
"Ponatinib","success",719,13,0.0193710128529999,0.015696484781486,18.969209815711,0.1,0.9,2,0.125752139016905,0.00521349819187814
"AZD6482_repl_156","success",715,13,0.0113510754875245,0.0110419571288586,2.72325172188015,0.05,0.05,2,0.481182964276896,0.116331956493815
"JNK-9L","success",719,13,0.0167535903281805,0.0168512830444866,-0.583115107821358,0.05,0.05,0.25,0.185413491520482,0.962450952486381
"PF-562271","success",682,12,0.00335982895166538,0.00333675974701766,0.686618425508999,0.05,0.05,0.125,0.108168077841031,1.08282369163527
"HG6-64-1","success",716,13,0.0268010597222382,0.0249884507654813,6.76319882699564,0.05,0.8,2,0.206677875650184,0.00979532843916226
"JQ1_repl_163","success",720,13,0.0252868492876142,0.0244120786892727,3.45938945730956,1,1,4,0.0170928952687043,0.00926438083491453
"JQ12","success",715,13,0.0261829882661656,0.0252850012635625,3.42965819437623,0.15,1,4,0.152990776394037,0.0106661359415481
"DMOG","success",717,13,0.035796306179342,0.0331503169590679,7.39179402203545,0.05,1,1,0.230195053800321,0.0102368342948322
"FTI-277","success",719,13,0.000848105342610962,0.000833771035938771,1.69015639355154,1,0.05,4,0.00474423471321947,0.0143043452067899
"OSU-03012","success",687,12,0.0150452780849826,0.0149373165937324,0.717577240117568,0.05,0.05,0.125,0.139273802973084,1.48050841744972
