"drug","status","n_samples","n_tissues","mse_tglasso","error","mse_en","mse_dsen"
"PAC-1","success",655,11,0.00519252383639283,NA,0.0044959261472974,0.00416089309622079
"IPA-3","success",688,12,0.0143513827601313,NA,0.0123536011556276,0.0117576309090339
"GSK650394","success",680,12,0.0159878576376315,NA,0.0154135411136554,0.0151455497124937
"BAY-61-3606","success",688,12,0.0165075092727611,NA,0.0145731485175225,0.0134998728681451
"5-Fluorouracil","success",755,13,0.0343306914545853,NA,0.0269509857686105,0.0241588756180719
"Thapsigargin","success",676,12,0.0648713355236637,NA,0.0615350076023656,0.0611752219262183
"Obatoclax Mesylate","success",681,12,0.0553869136221909,NA,0.0488491580349073,0.0473852472834513
"BMS-754807","success",661,11,0.036997958389605,NA,0.0337424085248395,0.0335027127639108
"Linsitinib","success",685,12,0.0149546876270587,NA,0.0138650399803667,0.0135557863024351
"Bexarotene","success",679,12,0.00485830865103602,NA,0.00472998990826434,0.00471039873714834
"Bleomycin","success",685,12,0.0833467489512017,NA,0.0788757615368962,0.0779986316740413
"LFM-A13","success",688,12,0.000649106630564976,NA,0.000621358014091391,0.000619872956339106
"GW-2580","success",759,13,0.00135331115911007,NA,0.00134182631607022,0.00134076939992466
"Luminespib","success",684,12,0.0297682395140945,NA,0.0286033134474623,0.0282599600486667
"Phenformin","success",752,13,0.0448989199163384,NA,0.0386342273750493,0.0365680962422648
"Bryostatin 1","success",685,12,0.00148794085645592,NA,0.00144910770102019,0.00143590874554717
"Pazopanib","success",686,12,0.00763447119481039,NA,0.00748750506701208,0.00741517503364619
"Dacinostat","success",689,12,0.0316770924351424,NA,0.02765206352664,0.0261323461488323
"Epothilone B","success",688,12,0.045739585437931,NA,0.0435859776668126,0.0429947070671895
"GSK1904529A","success",688,12,0.000508197701233148,NA,0.000477240936981939,0.000465275988065661
"BMS-345541","success",759,13,0.00956820799360716,NA,0.00747907441038767,0.00707917215010233
"Tipifarnib","success",686,12,0.0393802926548379,NA,0.0369118292242239,0.0374529251943938
"Avagacestat_repl_205","success",759,13,0.000193011372353795,NA,0.000189075070004631,0.000189260578084329
"Ruxolitinib","success",758,13,0.00506487758452014,NA,0.00489309709872542,0.00450726572579398
"AS601245","success",685,12,0.00817463439304907,NA,0.0075315827657025,0.00748179039363181
"Ispinesib Mesylate","success",758,13,0.02232595737398,NA,0.0194360362924191,0.0184414629405224
"TL-2-105","success",760,13,0.0101893949962918,NA,0.00856264210122032,0.00789897451282074
"AT-7519","success",756,13,0.0582207954553875,NA,0.0427347521682346,0.0386700711512204
"TAK-715","success",760,13,0.00474937898992875,NA,0.00392612939779277,0.00374782488081899
"BX-912","success",757,13,0.0323942312581912,NA,0.022408999309787,0.0209575029164234
"ZSTK474","success",758,13,0.0385989587478003,NA,0.0333952880045679,0.0311454526198143
"AS605240","success",755,13,0.0320348755942355,NA,0.029923065026326,0.0299493961322123
"Genentech Cpd 10","success",759,13,0.0265200540885613,NA,0.0230255393334663,0.0215380668952333
"GSK1070916","success",733,13,0.0561905596419511,NA,0.0427432652631418,0.0374944302255141
"AKT inhibitor VIII_repl_228","success",760,13,0.0222098096639406,NA,0.0162942030380117,0.0147527395396911
"Enzastaurin","success",757,13,0.0247605322911204,NA,0.0221074525182758,0.0219975730087708
"GSK429286A","success",759,13,0.00515841848259574,NA,0.00466116215607232,0.00460329954243878
"FMK","success",642,11,0.00100098933987506,NA,0.000956834471056511,0.000932644766986765
"QL-XII-47","success",756,13,0.0381440411394381,NA,0.0340378250640351,0.0332748032912007
"Idelalisib","success",759,13,0.0111739072714972,NA,0.0100885512757969,0.00907141775555481
"UNC0638_repl_245","success",755,13,0.0195478732619963,NA,0.0150180146211391,0.0140212912522906
"Cabozantinib","success",758,13,0.0113946858312395,NA,0.0100001460174185,0.00876606632709525
"WZ3105","success",759,13,0.0325016061544987,NA,0.0252439405413105,0.0230272969290122
"XMD14-99","success",759,13,0.00191295491958649,NA,0.00167437532052356,0.00148154121842911
"Quizartinib","success",758,13,0.00656659294849558,NA,0.00643279254705906,0.00617225177441016
"CP724714","success",759,13,0.00289827275416781,NA,0.00300102987715741,0.00287374053909697
"JW-7-24-1","success",759,13,0.0286906824822556,NA,0.0226371581502502,0.0208933019481193
"NPK76-II-72-1","success",758,13,0.0229253991121386,NA,0.0175960582690285,0.0153029848188342
"STF-62247","success",757,13,0.00169117409457734,NA,0.00148170292188836,0.00139908929189681
"NG-25","success",758,13,0.0305406048772403,NA,0.0219534262047255,0.0171391506147919
