"feature_name","gene_symbol","feature_type"
"GCN1L1_mut.hs","GCN1L1","mutation"
"TUBA3C_mut.hs","TUBA3C","mutation"
"TM9SF2_mut.hs","TM9SF2","mutation"
"CATSPERB_mut.hs","CATSPERB","mutation"
"CYP11A1_mut.hs","CYP11A1","mutation"
"CAPNS2_mut.hs","CAPNS2","mutation"
"MAP2K4_mut.hs","MAP2K4","mutation"
"SLC13A2_mut.hs","SLC13A2","mutation"
"POLD1_mut.hs","POLD1","mutation"
"NOP56_mut.hs","NOP56","mutation"
"E2F1_mut.hs","E2F1","mutation"
"MYH9_mut.hs","MYH9","mutation"
"C8A_mut.hs","C8A","mutation"
"SELP_mut.hs","SELP","mutation"
"STAT1_mut.hs","STAT1","mutation"
"FSTL5_mut.hs","FSTL5","mutation"
"P4HA2_mut.hs","P4HA2","mutation"
"TFAP2B_mut.hs","TFAP2B","mutation"
"KIAA1161_mut.hs","KIAA1161","mutation"
"FMNL3_mut.hs","FMNL3","mutation"
"TAOK3_mut.hs","TAOK3","mutation"
"DNAH10_mut.hs","DNAH10","mutation"
"CEP128_mut.hs","CEP128","mutation"
"GNL2_mut.hs","GNL2","mutation"
"ZNF804A_mut.hs","ZNF804A","mutation"
"AGAP1_mut.hs","AGAP1","mutation"
"SMARCC1_mut.hs","SMARCC1","mutation"
"PBRM1_mut.hs","PBRM1","mutation"
"SMC4_mut.hs","SMC4","mutation"
"SLIT3_mut.hs","SLIT3","mutation"
"FOXI1_mut.hs","FOXI1","mutation"
"ASCC3_mut.hs","ASCC3","mutation"
"FNDC1_mut.hs","FNDC1","mutation"
"ZNF800_mut.hs","ZNF800","mutation"
"DLGAP2_mut.hs","DLGAP2","mutation"
"COL22A1_mut.hs","COL22A1","mutation"
"DMRT3_mut.hs","DMRT3","mutation"
"SLC22A9_mut.hs","SLC22A9","mutation"
"CHD4_mut.hs","CHD4","mutation"
"NELL2_mut.hs","NELL2","mutation"
"ERBB3_mut.hs","ERBB3","mutation"
"ARHGEF40_mut.hs","ARHGEF40","mutation"
"GLG1_mut.hs","GLG1","mutation"
"ERBB2_mut.hs","ERBB2","mutation"
"NPEPPS_mut.hs","NPEPPS","mutation"
"ABCA5_mut.hs","ABCA5","mutation"
"ZNRF4_mut.hs","ZNRF4","mutation"
"ZNF536_mut.hs","ZNF536","mutation"
"SON_mut.hs","SON","mutation"
"MYO18B_mut.hs","MYO18B","mutation"
"SOX10_mut.hs","SOX10","mutation"
"LRP1B_mut.hs","LRP1B","mutation"
"COL5A2_mut.hs","COL5A2","mutation"
"ABCA12_mut.hs","ABCA12","mutation"
"GLRA3_mut.hs","GLRA3","mutation"
"ADAMTS12_mut.hs","ADAMTS12","mutation"
"OR5T1_mut.hs","OR5T1","mutation"
"SPTB_mut.hs","SPTB","mutation"
"ENOSF1_mut.hs","ENOSF1","mutation"
"PPCS_mut.hs","PPCS","mutation"
"GGCX_mut.hs","GGCX","mutation"
"CPNE5_mut.hs","CPNE5","mutation"
"RALYL_mut.hs","RALYL","mutation"
"CEP164_mut.hs","CEP164","mutation"
"DNAJC14_mut.hs","DNAJC14","mutation"
"ZMYM1_mut.hs","ZMYM1","mutation"
"TESK2_mut.hs","TESK2","mutation"
"PIK3R3_mut.hs","PIK3R3","mutation"
"OLFM3_mut.hs","OLFM3","mutation"
"SERPINC1_mut.hs","SERPINC1","mutation"
"FAM129A_mut.hs","FAM129A","mutation"
"TPR_mut.hs","TPR","mutation"
"PTPRC_mut.hs","PTPRC","mutation"
"DEGS1_mut.hs","DEGS1","mutation"
"XPO1_mut.hs","XPO1","mutation"
"AMER3_mut.hs","AMER3","mutation"
"ZEB2_mut.hs","ZEB2","mutation"
"SLC4A10_mut.hs","SLC4A10","mutation"
"TLK1_mut.hs","TLK1","mutation"
"SF3B1_mut.hs","SF3B1","mutation"
"ZNF619_mut.hs","ZNF619","mutation"
"ROBO2_mut.hs","ROBO2","mutation"
"MBNL1_mut.hs","MBNL1","mutation"
"PRKCI_mut.hs","PRKCI","mutation"
"CCDC39_mut.hs","CCDC39","mutation"
"FRYL_mut.hs","FRYL","mutation"
"ENAM_mut.hs","ENAM","mutation"
"MMRN1_mut.hs","MMRN1","mutation"
"NAA15_mut.hs","NAA15","mutation"
"MAP3K1_mut.hs","MAP3K1","mutation"
"ZNF391_mut.hs","ZNF391","mutation"
"DNAH8_mut.hs","DNAH8","mutation"
"PTCHD4_mut.hs","PTCHD4","mutation"
"EYS_mut.hs","EYS","mutation"
"SYNCRIP_mut.hs","SYNCRIP","mutation"
"REV3L_mut.hs","REV3L","mutation"
"COBL_mut.hs","COBL","mutation"
"DNAJC2_mut.hs","DNAJC2","mutation"
"CNTNAP2_mut.hs","CNTNAP2","mutation"
"HTR5A_mut.hs","HTR5A","mutation"
"CYP7A1_mut.hs","CYP7A1","mutation"
"PTK2_mut.hs","PTK2","mutation"
"OR5D13_mut.hs","OR5D13","mutation"
"TMEM126B_mut.hs","TMEM126B","mutation"
"ATM_mut.hs","ATM","mutation"
"NCAM1_mut.hs","NCAM1","mutation"
"SNX19_mut.hs","SNX19","mutation"
"EPS8_mut.hs","EPS8","mutation"
"PIK3C2G_mut.hs","PIK3C2G","mutation"
"SCAF11_mut.hs","SCAF11","mutation"
"NAV3_mut.hs","NAV3","mutation"
"POLE_mut.hs","POLE","mutation"
"NUFIP1_mut.hs","NUFIP1","mutation"
"BTBD7_mut.hs","BTBD7","mutation"
"TTBK2_mut.hs","TTBK2","mutation"
"DMXL2_mut.hs","DMXL2","mutation"
"CERS3_mut.hs","CERS3","mutation"
"MAPK8IP3_mut.hs","MAPK8IP3","mutation"
"SMG1_mut.hs","SMG1","mutation"
"MYO1D_mut.hs","MYO1D","mutation"
"TRAPPC8_mut.hs","TRAPPC8","mutation"
"ST8SIA3_mut.hs","ST8SIA3","mutation"
"ZNF709_mut.hs","ZNF709","mutation"
"URI1_mut.hs","URI1","mutation"
"ZNF569_mut.hs","ZNF569","mutation"
"MAP4K1_mut.hs","MAP4K1","mutation"
"ZNF546_mut.hs","ZNF546","mutation"
"ZNF180_mut.hs","ZNF180","mutation"
"ZNF432_mut.hs","ZNF432","mutation"
"ZNF841_mut.hs","ZNF841","mutation"
"ZNF334_mut.hs","ZNF334","mutation"
"BRWD1_mut.hs","BRWD1","mutation"
"LRRC3_mut.hs","LRRC3","mutation"
"AGXT2_mut.hs","AGXT2","mutation"
"OR5I1_mut.hs","OR5I1","mutation"
"BCAN_mut.hs","BCAN","mutation"
"MLK4_mut.hs","MLK4","mutation"
"DCUN1D1_mut.hs","DCUN1D1","mutation"
"ZNF827_mut.hs","ZNF827","mutation"
"ABCB5_mut.hs","ABCB5","mutation"
"GRM3_mut.hs","GRM3","mutation"
"SULF1_mut.hs","SULF1","mutation"
"DOCK8_mut.hs","DOCK8","mutation"
"RNF141_mut.hs","RNF141","mutation"
"EIF4G2_mut.hs","EIF4G2","mutation"
"ITGB7_mut.hs","ITGB7","mutation"
"PPFIA2_mut.hs","PPFIA2","mutation"
"NEDD4_mut.hs","NEDD4","mutation"
"EXOC7_mut.hs","EXOC7","mutation"
"NPC1_mut.hs","NPC1","mutation"
"TTC27_mut.hs","TTC27","mutation"
"RELN_mut.hs","RELN","mutation"
"KIAA1377_mut.hs","KIAA1377","mutation"
"CBL_mut.hs","CBL","mutation"
"ZNF768_mut.hs","ZNF768","mutation"
"TEX2_mut.hs","TEX2","mutation"
"DEDD2_mut.hs","DEDD2","mutation"
"OR10J3_mut.hs","OR10J3","mutation"
"AMPD1_mut.hs","AMPD1","mutation"
"TMEM132E_mut.hs","TMEM132E","mutation"
"KCNH1_mut.hs","KCNH1","mutation"
"ZDBF2_mut.hs","ZDBF2","mutation"
"TAP1_mut.hs","TAP1","mutation"
"FAM13C_mut.hs","FAM13C","mutation"
"EWSR1_mut.hs","EWSR1","mutation"
"SMARCAL1_mut.hs","SMARCAL1","mutation"
"EPHA6_mut.hs","EPHA6","mutation"
"BST1_mut.hs","BST1","mutation"
"PET112_mut.hs","PET112","mutation"
"GABRA1_mut.hs","GABRA1","mutation"
"TCP1_mut.hs","TCP1","mutation"
"UNC13C_mut.hs","UNC13C","mutation"
"KIF2B_mut.hs","KIF2B","mutation"
"SCN3A_mut.hs","SCN3A","mutation"
"TNIK_mut.hs","TNIK","mutation"
"SPATS2_mut.hs","SPATS2","mutation"
"BAK1_mut.hs","BAK1","mutation"
"PDE1C_mut.hs","PDE1C","mutation"
"PXDNL_mut.hs","PXDNL","mutation"
"NELL1_mut.hs","NELL1","mutation"
"GRK1_mut.hs","GRK1","mutation"
"CECR2_mut.hs","CECR2","mutation"
"ACTN2_mut.hs","ACTN2","mutation"
"KLF5_mut.hs","KLF5","mutation"
"MLH3_mut.hs","MLH3","mutation"
"NES_mut.hs","NES","mutation"
"PCDH15_mut.hs","PCDH15","mutation"
"IGSF22_mut.hs","IGSF22","mutation"
"GRIN2B_mut.hs","GRIN2B","mutation"
"SLC14A2_mut.hs","SLC14A2","mutation"
"C1orf173_mut.hs","C1ORF173","mutation"
"ADCY8_mut.hs","ADCY8","mutation"
"CUBN_mut.hs","CUBN","mutation"
"ITIH3_mut.hs","ITIH3","mutation"
"DLX5_mut.hs","DLX5","mutation"
"FMNL1_mut.hs","FMNL1","mutation"
"ATG4D_mut.hs","ATG4D","mutation"
"MEGF8_mut.hs","MEGF8","mutation"
"U2AF1_mut.hs","U2AF1","mutation"
"CAMTA1_mut.hs","CAMTA1","mutation"
"ARID1A_mut.hs","ARID1A","mutation"
"GJB3_mut.hs","GJB3","mutation"
"FPGT-TNNI3K_mut.hs","FPGT-TNNI3K","mutation"
"LPAR3_mut.hs","LPAR3","mutation"
"S1PR1_mut.hs","S1PR1","mutation"
"CD1A_mut.hs","CD1A","mutation"
"NCSTN_mut.hs","NCSTN","mutation"
"NFASC_mut.hs","NFASC","mutation"
"SLC26A9_mut.hs","SLC26A9","mutation"
"PROX1_mut.hs","PROX1","mutation"
"TGFB2_mut.hs","TGFB2","mutation"
"FAM84A_mut.hs","FAM84A","mutation"
"AAK1_mut.hs","AAK1","mutation"
"PSMD1_mut.hs","PSMD1","mutation"
"GALNT15_mut.hs","GALNT15","mutation"
"ROBO1_mut.hs","ROBO1","mutation"
"ABI3BP_mut.hs","ABI3BP","mutation"
"MECOM_mut.hs","MECOM","mutation"
"GABRG1_mut.hs","GABRG1","mutation"
"PF4V1_mut.hs","PF4V1","mutation"
"PCDHA7_mut.hs","PCDHA7","mutation"
"TRAF3IP2_mut.hs","TRAF3IP2","mutation"
"CCDC170_mut.hs","CCDC170","mutation"
"MAP3K4_mut.hs","MAP3K4","mutation"
"NEUROD6_mut.hs","NEUROD6","mutation"
"RNF148_mut.hs","RNF148","mutation"
"LRGUK_mut.hs","LRGUK","mutation"
"PENK_mut.hs","PENK","mutation"
"PREX2_mut.hs","PREX2","mutation"
"ZFPM2_mut.hs","ZFPM2","mutation"
"UTP23_mut.hs","UTP23","mutation"
"FER1L6_mut.hs","FER1L6","mutation"
"EEF1D_mut.hs","EEF1D","mutation"
"MUC5B_mut.hs","MUC5B","mutation"
"TRAF6_mut.hs","TRAF6","mutation"
"PTPRJ_mut.hs","PTPRJ","mutation"
"OR8K3_mut.hs","OR8K3","mutation"
"OR9G4_mut.hs","OR9G4","mutation"
"OR5AN1_mut.hs","OR5AN1","mutation"
"OMP_mut.hs","OMP","mutation"
"PRSS23_mut.hs","PRSS23","mutation"
"MMP10_mut.hs","MMP10","mutation"
"PEX5_mut.hs","PEX5","mutation"
"CMAS_mut.hs","CMAS","mutation"
"PRICKLE1_mut.hs","PRICKLE1","mutation"
"TMPRSS12_mut.hs","TMPRSS12","mutation"
"OS9_mut.hs","OS9","mutation"
"XPOT_mut.hs","XPOT","mutation"
"MYF6_mut.hs","MYF6","mutation"
"ANO4_mut.hs","ANO4","mutation"
"KSR2_mut.hs","KSR2","mutation"
"GPR133_mut.hs","GPR133","mutation"
"PUS1_mut.hs","PUS1","mutation"
"MCF2L_mut.hs","MCF2L","mutation"
"RNASE9_mut.hs","RNASE9","mutation"
"AK7_mut.hs","AK7","mutation"
"ARHGAP11A_mut.hs","ARHGAP11A","mutation"
"C16orf11_mut.hs","C16ORF11","mutation"
"IFT140_mut.hs","IFT140","mutation"
"ZNF267_mut.hs","ZNF267","mutation"
"CDH11_mut.hs","CDH11","mutation"
"PLCG2_mut.hs","PLCG2","mutation"
"DNAH9_mut.hs","DNAH9","mutation"
"PIPOX_mut.hs","PIPOX","mutation"
"KRT28_mut.hs","KRT28","mutation"
"SPOP_mut.hs","SPOP","mutation"
"CXXC1_mut.hs","CXXC1","mutation"
"GNA15_mut.hs","GNA15","mutation"
"CD70_mut.hs","CD70","mutation"
"C19orf57_mut.hs","C19ORF57","mutation"
"UNC13A_mut.hs","UNC13A","mutation"
"CILP2_mut.hs","CILP2","mutation"
"GRIK5_mut.hs","GRIK5","mutation"
"ISOC2_mut.hs","ISOC2","mutation"
"SLC24A3_mut.hs","SLC24A3","mutation"
"CD93_mut.hs","CD93","mutation"
"ZSWIM3_mut.hs","ZSWIM3","mutation"
"EYA2_mut.hs","EYA2","mutation"
"MC3R_mut.hs","MC3R","mutation"
"KRTAP20-2_mut.hs","KRTAP20-2","mutation"
"CCT8L2_mut.hs","CCT8L2","mutation"
"UBXN10_mut.hs","UBXN10","mutation"
"DNAJC27_mut.hs","DNAJC27","mutation"
"MSH6_mut.hs","MSH6","mutation"
"REG1A_mut.hs","REG1A","mutation"
"MAP3K19_mut.hs","MAP3K19","mutation"
"CAV3_mut.hs","CAV3","mutation"
"ATP2B2_mut.hs","ATP2B2","mutation"
"TRANK1_mut.hs","TRANK1","mutation"
"MLH1_mut.hs","MLH1","mutation"
"ARHGEF3_mut.hs","ARHGEF3","mutation"
"STAG1_mut.hs","STAG1","mutation"
"PCDH10_mut.hs","PCDH10","mutation"
"PCDHGB1_mut.hs","PCDHGB1","mutation"
"TCERG1_mut.hs","TCERG1","mutation"
"MDN1_mut.hs","MDN1","mutation"
"SASH1_mut.hs","SASH1","mutation"
"PACRG_mut.hs","PACRG","mutation"
"WBSCR17_mut.hs","WBSCR17","mutation"
"CNPY1_mut.hs","CNPY1","mutation"
"MAK16_mut.hs","MAK16","mutation"
"FAM135B_mut.hs","FAM135B","mutation"
"APBA1_mut.hs","APBA1","mutation"
"DLG5_mut.hs","DLG5","mutation"
"OR51E1_mut.hs","OR51E1","mutation"
"SYT9_mut.hs","SYT9","mutation"
"TCIRG1_mut.hs","TCIRG1","mutation"
"SUV420H1_mut.hs","SUV420H1","mutation"
"FAT3_mut.hs","FAT3","mutation"
"NXPE1_mut.hs","NXPE1","mutation"
"DSCAML1_mut.hs","DSCAML1","mutation"
"A2M_mut.hs","A2M","mutation"
"TYRO3_mut.hs","TYRO3","mutation"
