"drug","method","selection","n_resistance_genes","n_sensitivity_genes","n_og_in_resistance","n_tsg_in_sensitivity","n_og_in_sensitivity","n_tsg_in_resistance","odds_ratio_og_resistance","odds_ratio_ha_og_resistance","p_og_resistance","odds_ratio_tsg_sensitivity","odds_ratio_ha_tsg_sensitivity","p_tsg_sensitivity","resistance_genes_found","sensitivity_genes_found","p_og_resistance_bh","p_tsg_sensitivity_bh"
"Veliparib","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Bosutinib","DSEN","freq50",1,0,0,0,0,0,0,47.2123700054735,1,NA,139.790923824959,1,"","",1,1
"Bosutinib","EN","freq50",12,11,0,2,3,2,0,5.664039408867,1,31.2996152738461,37.0194041384047,0.00264278531660112,"LRP1B;RB1","ASXL1;MAP2K1;MYB;NOTCH1",1,0.0132139265830056
"Lenalidomide","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Lenalidomide","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Axitinib","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Axitinib","EN","freq50",1,2,0,1,0,0,0,47.2123700054735,1,140.016396193431,140.242276422764,0.0141326386747607,"","ASXL1",1,0.0542775253450953
"AZD7762","DSEN","freq50",33,27,4,1,0,2,19.8094818524896,21.8790434022392,8.20394881049478e-05,5.39973606940776,7.93364012885412,0.174864092078798,"CTNNB1;ESR1;MDM2;WT1","RB1",0.00543511608695279,0.812964638611956
"AZD7762","EN","freq50",74,35,7,0,1,4,15.1453400483181,16.0830999066293,9.2541239854779e-07,0,1.96728833291483,1,"CTNNB1;ERBB3;ESR1;ETV5;MDM2;PDGFRA;PTPRB;RB1;WT1","MYC",2.50176014832216e-05,1
"GW441756","DSEN","freq50",7,9,1,0,0,0,23.7016996883841,32.7893803066785,0.0479813761484129,0,7.35588160027297,1,"PRDM16","",0.205081688376281,1
"GW441756","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Lestauritinib","DSEN","freq50",27,37,2,1,0,0,11.4156483709402,13.9700210662778,0.0152718134091619,3.89850829093675,5.75870364183094,0.23158510216524,"AKT1;ERBB3","BAX",0.103770014190459,1
"Lestauritinib","EN","freq50",38,47,4,1,0,4,16.8945291695244,18.7059972509585,0.000143972539352562,3.05027202810718,4.51922370836612,0.284418816576946,"AKT1;BAZ1A;CDH1;CTNNB1;ERBB3;RB1;TP53","BAX",0.00136259724744389,0.570992321158263
"SNX-2112","DSEN","freq50",3,0,0,0,0,0,0,20.2329345531316,1,NA,139.790923824959,1,"","",1,1
"SNX-2112","EN","freq50",4,3,1,1,1,0,47.3835378916262,60.8987997175806,0.027705520957085,70.1678740665494,84.1434146341463,0.0211241228056388,"CTNNB1","KMT2D",0.0884573861882835,0.0736564808354511
"THZ-2-102-1","DSEN","freq50",13,18,1,4,1,1,11.8554864714874,17.0481054365733,0.0872774300183983,40.4874098115266,43.9390181756412,7.01643741814462e-06,"NDRG1;WWTR1","CHEK2;ESR1;KEAP1;MSH2",0.282055109205799,0.000929677957904163
"THZ-2-102-1","EN","freq50",51,47,5,6,3,1,15.6580593637949,17.0146839714937,2.93318703569688e-05,20.8747644027975,22.3080155332072,1.01844307152822e-06,"AKT1;CTNNB1;KDR;POLG;SRC;WWTR1","ARHGEF12;CHEK2;KEAP1;KMT2D;MYC;NOTCH1;TET2",0.000431830313588707,3.37359267443724e-05
"SB216763","DSEN","freq50",5,14,0,1,1,1,0,12.8749067024929,1,10.8010517070901,15.5781391147245,0.0948440265163999,"MSH2","SMAD3;WWTR1",1,0.534758872911616
