"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"FMK","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"FMK","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"FMK","DSEN","top50",50,0,545,0,0.77753174034177,1,"",1
"FMK","EN","freq25",4,0,545,0,8.73500356451777,1,"",1
"FMK","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"FMK","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"FMK","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"SOX2;STAT3",0.156041294615249
"QL-XII-47","DSEN","freq25",11,1,545,7.88107865081944,11.2497704315886,0.129700689803617,"ERBB3",0.208307168472476
"QL-XII-47","DSEN","freq50",1,1,545,Inf,236.300275482094,0.012548062533097,"ERBB3",0.045551185907818
"QL-XII-47","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"QL-XII-47","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"ERBB3;MAPK1;RB1",0.0335160617475657
"QL-XII-47","EN","freq25",116,8,545,5.90040995490501,6.23528882220555,0.000113395919110723,"CTNNB1;ERBB3;KMT2D;MAPK1;MYC;RB1;TET2;WWTR1",0.000214642275459583
"QL-XII-47","EN","freq50",23,6,545,28.0554008390029,29.5156626506024,3.19798021357443e-07,"CTNNB1;ERBB3;MAPK1;MYC;RB1;TET2",2.01777322999339e-06
"QL-XII-47","EN","freq75",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"ERBB3",0.0688419111177834
"QL-XII-47","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"MYC;TET2",0.156041294615249
"Idelalisib","DSEN","freq25",68,6,545,7.68851243937358,8.25571084337349,0.00021514964401747,"CTNNB1;ELF4;ETNK1;KDR;SRC;TP53",0.000740450073566617
"Idelalisib","DSEN","freq50",14,2,545,13.1569439630312,15.7779208831647,0.0129430633736891,"CTNNB1;ETNK1",0.0463501593787514
"Idelalisib","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Idelalisib","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CTNNB1;ETNK1;SRC;TP53",0.00588945112474559
"Idelalisib","EN","freq25",207,13,545,5.37783531438041,5.56501683623592,2.54643117978382e-06,"DDX5;ELF4;EP300;ETNK1;LCK;MYC;PIK3R1;PTPN11;RB1;SRC;TCF7L2;TMEM127;WT1",6.42670726326391e-06
"Idelalisib","EN","freq50",46,2,545,3.58593992716821,4.42869251522074,0.113505826402338,"ETNK1;PIK3R1",0.174878162771043
"Idelalisib","EN","freq75",10,1,545,8.75650243335025,12.4342467739597,0.118638767044696,"PIK3R1",0.247553332809799
"Idelalisib","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"DDX6;EP300;PTPN11;TMEM127",0.00746615457546488
"UNC0638_repl_245","DSEN","freq25",16,3,545,18.2491663984316,20.4900836320191,0.00097422196007986,"AKT1;ATM;JAK1",0.00296745769449613
"UNC0638_repl_245","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"UNC0638_repl_245","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"UNC0638_repl_245","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"AKT1;ATM;CDH10;EGFR;JAK1;RB1",0.000135308025439973
"UNC0638_repl_245","EN","freq25",164,19,545,10.6455791730929,10.8803614611175,3.42235533438882e-13,"AKT1;ATM;BAX;BCL2;CDH10;CTNNB1;EGFR;EZH2;KMT2D;MLH1;MYC;NOTCH1;PIK3CA;PIK3R1;POU2AF1;RB1;SLC34A2;TET2;VHL",2.74825504125162e-12
"UNC0638_repl_245","EN","freq50",41,12,545,33.2617359182783,34.0408717614728,7.66902326831468e-14,"AKT1;ATM;BCL2;CTNNB1;EGFR;KMT2D;MYC;NOTCH1;PIK3R1;RB1;TET2;VHL",1.0161455830517e-11
"UNC0638_repl_245","EN","freq75",12,3,545,26.3479716703424,29.1202037351443,0.000397303516398168,"CTNNB1;EGFR;KMT2D",0.00244849841501196
"UNC0638_repl_245","EN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"KMT2D;MLH1;MYC;NOTCH1;POU2AF1;SLC34A2;TET2;VHL",4.35827007022804e-06
"Cabozantinib","DSEN","freq25",26,2,545,6.57740081663287,8.04770666316204,0.0418853890162801,"FSTL3;SRC",0.0760248499268097
"Cabozantinib","DSEN","freq50",6,1,545,15.7635313504171,21.4793388429752,0.072969780683277,"SRC",0.174207134063679
"Cabozantinib","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Cabozantinib","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"EXT2;LRP1B;MET;SRC",0.00588945112474559
"Cabozantinib","EN","freq25",36,2,545,4.64138003074473,5.71370478514193,0.0748634872395475,"BAX;CREBBP",0.0987006175048761
"Cabozantinib","EN","freq50",9,1,545,9.85201591376079,13.8974234321828,0.107436503186848,"BAX",0.167474549085381
"Cabozantinib","EN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Cabozantinib","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"CBL;CREBBP;FES;PTPN11;SMARCA4;TFE3;U2AF1",2.05845828099622e-05
"WZ3105","DSEN","freq25",60,7,545,10.5134928796466,11.1513029443157,1.02431191343787e-05,"AKT1;BRAF;CHEK2;LRP1B;MDM2;NDRG1;SMAD3",5.12155956718937e-05
"WZ3105","DSEN","freq50",13,0,545,0,2.91105679464983,1,"",1
"WZ3105","DSEN","freq75",4,0,545,0,8.73500356451777,1,"",1
"WZ3105","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"BRAF;NDRG1;SMAD3",0.0335160617475657
"WZ3105","EN","freq25",79,8,545,8.98432028252648,9.4701252236136,6.97599666964538e-06,"BRAF;CHEK2;MYC;NOTCH1;POLG;SLC34A2;TET2;WWTR1",1.63596382075754e-05
"WZ3105","EN","freq50",14,1,545,6.06189418746964,8.74920926436078,0.162061852136361,"NOTCH1",0.238591060089643
"WZ3105","EN","freq75",3,0,545,0,11.230980751604,1,"",1
"WZ3105","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"DNM2;MYC;NOTCH1;POLG;SLC34A2;TET2;WT1",2.05845828099622e-05
"XMD14-99","DSEN","freq25",77,9,545,10.5711416168935,11.0691695974857,5.46484615082547e-07,"ATM;BAX;BCOR;MSH2;NFATC2;STAG2;STAT3;TEC;TP53",4.37981305581876e-06
"XMD14-99","DSEN","freq50",17,1,545,4.92496080714273,7.15794306703398,0.193221824503169,"TP53",0.400029558541717
"XMD14-99","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"XMD14-99","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"BCOR;MSH2;NFATC2;TP53",0.00588945112474559
"XMD14-99","EN","freq25",234,18,545,6.74664381792705,6.91256854525355,1.31048707912515e-09,"AKT1;ATM;BAX;BCOR;CHEK2;CTNNB1;ERBB2;ETNK1;HOXD13;MSH2;NFATC2;PTEN;RAC1;SLC34A2;STAG2;STAT3;TEC;TP53",5.6930996060355e-09
"XMD14-99","EN","freq50",53,3,545,4.74179887984274,5.47282018524433,0.0289763394036495,"BAX;STAG2;TP53",0.0525940406984049
"XMD14-99","EN","freq75",14,0,545,0,2.71023104396473,1,"",1
"XMD14-99","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"HOXD13",0.500432762988498
"Quizartinib","DSEN","freq25",3,0,545,0,11.230980751604,1,"",1
"Quizartinib","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Quizartinib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Quizartinib","DSEN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"AKT1;CTNND2",0.158188651880597
"Quizartinib","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Quizartinib","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Quizartinib","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Quizartinib","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CBL;TFE3;U2AF1",0.0377295095101168
"CP724714","DSEN","freq25",4,0,545,0,8.73500356451777,1,"",1
"CP724714","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"CP724714","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"CP724714","DSEN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"ERBB2",0.534945367332532
"CP724714","EN","freq25",154,8,545,4.36101274480099,4.61384236844194,0.000770437501006687,"AR;CDH1;CDK12;ERBB2;ETV4;PLAG1;USP44;WWTR1",0.00128406250167781
"CP724714","EN","freq50",42,3,545,6.08057402155722,6.99869334422213,0.0157014184410703,"CDH1;CDK12;ERBB2",0.0299343588984433
"CP724714","EN","freq75",9,2,545,22.544309150949,26.2996013492794,0.00533706401081048,"CDK12;ERBB2",0.0199200276459828
"CP724714","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"PLAG1;WWTR1",0.156041294615249
"JW-7-24-1","DSEN","freq25",34,3,545,7.65156422200475,8.77777777777778,0.00880932449670318,"ERBB3;NFATC2;SALL4",0.0183816613513885
"JW-7-24-1","DSEN","freq50",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"ERBB3",0.105927757171352
"JW-7-24-1","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"JW-7-24-1","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ATM;ERBB3;NFATC2;SALL4",0.00588945112474559
"JW-7-24-1","EN","freq25",353,32,545,8.27061331745166,8.37992401126051,4.2247168875913e-18,"ARHGEF10;ARID1B;ATM;ATR;BRAF;CBLB;CDKN2A;CHEK2;CTNNB1;DNM2;ERBB3;EZH2;FHIT;IKBKB;IRS4;KDR;KMT2D;MAP2K1;MAPK1;MLH1;MYC;MYH9;NFATC2;NT5C2;PIK3R1;POLG;POU2AF1;PRF1;RB1;SALL4;SIRPA;SUZ12",2.89815922892676e-16
"JW-7-24-1","EN","freq50",90,11,545,11.1587142678236,11.5857234469409,1.87024946754358e-08,"CHEK2;CTNNB1;ERBB3;IRS4;KMT2D;MAP2K1;MAPK1;MYC;PIK3R1;RB1;SALL4",1.83561521814463e-07
"JW-7-24-1","EN","freq75",28,6,545,21.6783279233123,22.9539491298527,1.13159596257514e-06,"CHEK2;CTNNB1;ERBB3;KMT2D;MAPK1;RB1",2.10252111045426e-05
"JW-7-24-1","EN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"IRS4;KMT2D;MYC;POU2AF1;SUZ12;XPO1",0.000164144162009147
"NPK76-II-72-1","DSEN","freq25",39,4,545,9.05102114914943,10.0316413717764,0.00142410931854286,"AKT1;CHEK2;NDRG1;NFATC2",0.00397251546751429
"NPK76-II-72-1","DSEN","freq50",10,2,545,19.7243470372088,23.2049894474809,0.00661612846622142,"NDRG1;NFATC2",0.0287421974352242
"NPK76-II-72-1","DSEN","freq75",2,0,545,0,15.7237396883593,1,"",1
"NPK76-II-72-1","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"AKT1;CDKN1A;CHEK2;NDRG1;NFATC2",0.000969918303690561
"NPK76-II-72-1","EN","freq25",39,6,545,14.4569815273982,15.4128753821255,8.71792103028681e-06,"AKT1;CHEK2;KMT2D;NFATC2;NOTCH1;TET2",1.97457185728718e-05
"NPK76-II-72-1","EN","freq50",13,4,545,35.2112012999753,37.5094037031637,1.60249539585309e-05,"CHEK2;KMT2D;NOTCH1;TET2",5.63369670197889e-05
"NPK76-II-72-1","EN","freq75",5,2,545,52.6641033315682,56.3615455381785,0.00153275219353312,"KMT2D;NOTCH1",0.00725320234439782
"NPK76-II-72-1","EN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"KMT2D;NOTCH1;POU2AF1;SLC34A2;TET2;WT1",0.000164144162009147
"STF-62247","DSEN","freq25",25,3,545,10.7821815523043,12.2914695340502,0.00367986491526794,"AFF3;ETV6;NFATC2",0.00881508253879089
"STF-62247","DSEN","freq50",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"NFATC2",0.133195149493506
"STF-62247","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"STF-62247","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"AFF3;CTNNB1;ETV6;MAP2K1;NFATC2;PTEN",0.000135308025439973
"STF-62247","EN","freq25",127,12,545,8.37259365895002,8.67697594501718,7.86334339831378e-08,"AFF3;CTNNB1;EZH2;MAP2K1;NFATC2;NOTCH1;PIK3CB;PIK3R1;SRC;TET2;TSC1;VHL",2.42300697738739e-07
"STF-62247","EN","freq50",25,5,545,19.8391566667645,21.2790099501365,1.31857478986893e-05,"CTNNB1;NFATC2;PIK3R1;TET2;VHL",4.78660711390777e-05
"STF-62247","EN","freq75",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"CTNNB1",0.094723859778228
"STF-62247","EN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"EZH2;NOTCH1;NUP98;PER1;PIK3CB;TET2;TSC1;VHL",4.35827007022804e-06
"NG-25","DSEN","freq25",14,0,545,0,2.71023104396473,1,"",1
"NG-25","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"NG-25","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"NG-25","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"ATM;IKZF1;NDRG1",0.0335160617475657
"NG-25","EN","freq25",45,6,545,12.2285604241597,13.0698490163184,2.0421202296871e-05,"CTNNB1;ELF4;IKZF1;KMT2D;MYC;TMEM127",4.32929488693666e-05
"NG-25","EN","freq50",6,1,545,15.7635313504171,21.4793388429752,0.072969780683277,"IKZF1",0.117908487079685
"NG-25","EN","freq75",1,0,545,0,26.2068438741216,1,"",1
"NG-25","EN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"CBL;EZH2;FUBP1;MYC;NT5C2;TMEM127",0.000164144162009147
"TL-1-85","DSEN","freq25",119,11,545,8.15843034658662,8.4833278010803,3.41817485170329e-07,"AKT1;ATM;BAX;ELF4;ERBB2;FHIT;GPC5;IKZF1;NDRG1;RB1;TP53",3.1235046058668e-06
"TL-1-85","DSEN","freq50",31,3,545,8.47126506422356,9.70243350311262,0.00680311517366561,"AKT1;ATM;IKZF1",0.0290778309842159
"TL-1-85","DSEN","freq75",5,1,545,19.7007789079056,26.2531374349556,0.0611881546420108,"ATM",0.265817393116932
"TL-1-85","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"AKT1;ATM;IKZF1;TP53",0.00588945112474559
"TL-1-85","EN","freq25",316,30,545,8.67559375910006,8.79795281695028,1.3235762185254e-17,"AKT1;ATM;BAX;CDKN1B;CHEK2;CREBBP;CTNNB1;EGFR;ELF4;ERBB2;EXT2;EZH2;FHIT;FUBP1;GPC5;IKZF1;KMT2C;KMT2D;KRAS;LEF1;MAX;MYC;NT5C2;PIK3CA;PIK3R1;PTEN;RB1;SRC;TMEM127;TP53",5.01068139870328e-16
"TL-1-85","EN","freq50",119,11,545,8.15843034658662,8.4833278010803,3.41817485170329e-07,"AKT1;ATM;BAX;CHEK2;CTNNB1;ELF4;ERBB2;GPC5;IKZF1;KRAS;RB1",2.10654961791017e-06
"TL-1-85","EN","freq75",31,4,545,11.7366613326123,12.9523545706371,0.000589638558771364,"AKT1;ATM;BAX;IKZF1",0.00332455783137046
"TL-1-85","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CREBBP;FUBP1;NT5C2;RB1;TMEM127",0.00122341967851878
"VX-11e","DSEN","freq25",61,8,545,12.0391144660977,12.661656161704,9.59270318108495e-07,"AKT1;ATM;BRAF;MAP2K1;MET;NRG1;SYK;TP53",7.06129539718753e-06
"VX-11e","DSEN","freq50",12,4,545,39.6083268590457,41.9232524034545,1.12055089891454e-05,"AKT1;BRAF;MAP2K1;SYK",0.000148472994106176
"VX-11e","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"VX-11e","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"AKT1;BRAF;KMT2D;MAP2K1;MET;NRAS;SYK;TP53",2.09196963370946e-06
"VX-11e","EN","freq25",79,10,545,11.6005926601527,12.0805473268444,5.91655141033379e-08,"AKT1;BRAF;KRAS;MAP2K1;MET;NRAS;RAD51B;RB1;SYK;TP53",1.84457191028054e-07
"VX-11e","EN","freq50",16,6,545,47.6458844747352,49.2008032128514,2.73359153948245e-08,"AKT1;BRAF;KRAS;MAP2K1;SYK;TP53",2.41467252654283e-07
"VX-11e","EN","freq75",3,2,545,157.416892154451,131.516406010426,0.00046757572849093,"AKT1;BRAF",0.00269364278369775
"VX-11e","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"BRAF;NRAS;RAD51B",0.0377295095101168
"FR-180204","DSEN","freq25",46,4,545,7.54229680713182,8.37800228124491,0.00263706098226362,"AKT1;IKZF1;NRG1;PTEN",0.0067194342336525
"FR-180204","DSEN","freq50",13,0,545,0,2.91105679464983,1,"",1
"FR-180204","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"FR-180204","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"AKT1;CDKN1A;IKZF1;MAP2K1;PTEN",0.000969918303690561
"FR-180204","EN","freq25",3,0,545,0,11.230980751604,1,"",1
"FR-180204","EN","freq50",1,0,545,0,26.2068438741216,1,"",1
"FR-180204","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"FR-180204","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CBL;DNM2;EBF1;RAD51B",0.00746615457546488
"Tubastatin A","DSEN","freq25",5,0,545,0,7.14665444546288,1,"",1
"Tubastatin A","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"Tubastatin A","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Tubastatin A","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"ATM;ESR1;KDM6A;MECOM;PTEN",0.000969918303690561
"Tubastatin A","EN","freq25",238,22,545,8.30894747203371,8.4714161874574,4.97110749537573e-13,"AKT1;ATM;CHEK2;CTNNB1;EGFR;ELF4;ESR1;ID3;KMT2C;MAPK1;MYC;NOTCH1;NRAS;PIK3R1;PTEN;RB1;SIX2;SLC34A2;SRC;TET2;TP53;XPA",3.76383853221305e-12
"Tubastatin A","EN","freq50",92,9,545,8.65730910852363,9.07751505376944,2.49205213272811e-06,"AKT1;CHEK2;CTNNB1;ELF4;MYC;PIK3R1;RB1;SLC34A2;TET2",1.18057353404559e-05
"Tubastatin A","EN","freq75",38,3,545,6.77606995922868,7.78800545206724,0.0119698573933438,"CTNNB1;MYC;TET2",0.0386655415264037
"Tubastatin A","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ID3;MYC;NOTCH1;SIX2;SLC34A2;TET2;XPA",2.05845828099622e-05
"Zibotentan","DSEN","freq25",4,0,545,0,8.73500356451777,1,"",1
"Zibotentan","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Zibotentan","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Zibotentan","DSEN","top50",50,0,545,0,0.77753174034177,1,"",1
"Zibotentan","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"Zibotentan","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Zibotentan","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Zibotentan","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"SOCS1;STAG1",0.156041294615249
"Sepantronium bromide","DSEN","freq25",35,3,545,7.4127821862445,8.50749379652605,0.00954678161230091,"ATRX;CDKN1A;TAL1",0.0197648213067167
"Sepantronium bromide","DSEN","freq50",7,0,545,0,5.24063550259701,1,"",1
"Sepantronium bromide","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Sepantronium bromide","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"ATRX;CDKN1A;CTNNB1;ERG;TAL1",0.000969918303690561
"Sepantronium bromide","EN","freq25",26,3,545,10.3114231203309,11.7681537405628,0.00412144777581025,"CTNNB1;MYC;TAL1",0.00613586326173998
"Sepantronium bromide","EN","freq50",5,1,545,19.7007789079056,26.2531374349556,0.0611881546420108,"MYC",0.101980257736685
"Sepantronium bromide","EN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Sepantronium bromide","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"FCRL4;MYC;RANBP2",0.0377295095101168
"NSC-207895","DSEN","freq25",2,0,545,0,15.7237396883593,1,"",1
"NSC-207895","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"NSC-207895","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"NSC-207895","DSEN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"ATM;DDX10",0.158188651880597
"NSC-207895","EN","freq25",138,8,545,4.89938833661951,5.18146306691615,0.000372789275562512,"CHEK2;CTNNB1;DDX10;ELF4;FOXO1;IKZF1;MYC;RB1",0.000658594386827105
"NSC-207895","EN","freq50",26,2,545,6.57740081663287,8.04770666316204,0.0418853890162801,"DDX10;FOXO1",0.0725465888190472
"NSC-207895","EN","freq75",6,0,545,0,6.04702813227103,1,"",1
"NSC-207895","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"FOXO1",0.500432762988498
"VNLG/124","DSEN","freq25",110,11,545,8.9004965940414,9.25261010384006,1.52970184782671e-07,"ABL2;BAX;BCL2;EGFR;ERBB3;ETV6;JAK2;PTEN;SRC;SYK;TET2",1.50137403582991e-06
"VNLG/124","DSEN","freq50",24,2,545,7.17412871896075,8.76346723908821,0.0361564220157966,"SRC;TET2",0.105927757171352
"VNLG/124","DSEN","freq75",2,0,545,0,15.7237396883593,1,"",1
"VNLG/124","DSEN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"TET2",0.534945367332532
"VNLG/124","EN","freq25",30,3,545,8.78515842181763,10.0554838709677,0.00620181098512746,"BAX;SRC;TET2",0.00907999950861202
"VNLG/124","EN","freq50",7,1,545,13.1345969378807,18.1744013562195,0.0846038210159644,"TET2",0.134251572270842
"VNLG/124","EN","freq75",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"TET2",0.094723859778228
"VNLG/124","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"CDKN1B;TET2",0.156041294615249
"AR-42","DSEN","freq25",129,14,545,9.80528998203117,10.1031671370336,1.06116907555966e-09,"AKT1;ATM;CDC73;CHEK2;CHST11;ERBB3;ERG;ESR1;FGFR1;NDRG1;NFATC2;PTEN;RB1;WWTR1",2.00864146445221e-08
"AR-42","DSEN","freq50",26,7,545,29.3335717071196,30.6188843654025,2.52190053971725e-08,"AKT1;CHEK2;ESR1;NDRG1;PTEN;RB1;WWTR1",1.33660728605014e-06
"AR-42","DSEN","freq75",5,4,545,317.286709952557,237.603878116343,1.21393505378803e-07,"AKT1;ESR1;PTEN;WWTR1",1.60846394626914e-05
"AR-42","DSEN","top50",50,10,545,20.0135557539578,20.7448559670782,5.84024470145415e-10,"AKT1;CHEK2;CHST11;ESR1;FGFR1;NDRG1;PTEN;RB1;TP63;WWTR1",2.57944140980892e-08
"AR-42","EN","freq25",322,30,545,8.49711971543752,8.61626833130228,2.23110236758453e-17,"AKT1;ATM;BCL11A;CHEK2;CTNNB1;EGFR;ERBB3;ERG;ESR1;FGFR1;FOXO1;KMT2D;LCK;MYC;NDRG1;NFATC2;NFE2L2;NOTCH1;NRAS;PIK3CA;PTEN;RB1;SLC34A2;SRC;SUZ12;TCF3;TET2;TP53;WWTR1;XPO1",5.912421274099e-16
"AR-42","EN","freq50",82,14,545,16.5984082503389,17.0539857585267,2.04811883142403e-12,"AKT1;CHEK2;CTNNB1;EGFR;ERBB3;ESR1;KMT2D;MYC;NFE2L2;PTEN;RB1;SLC34A2;TET2;WWTR1",1.08550298065474e-10
"AR-42","EN","freq75",28,7,545,26.5408398523149,27.7693204638207,4.44183477726819e-08,"AKT1;CHEK2;CTNNB1;MYC;RB1;SLC34A2;WWTR1",1.68155173710867e-06
"AR-42","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"KMT2D;MYC;NFE2L2;SLC34A2;SUZ12;TET2;XPO1",2.05845828099622e-05
"CUDC-101","DSEN","freq25",11,4,545,45.2707678419971,47.5141274238227,7.5453214888709e-06,"CHEK2;ESR1;NDRG1;WWTR1",3.99902038910158e-05
"CUDC-101","DSEN","freq50",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"WWTR1",0.0796243791241832
"CUDC-101","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"CUDC-101","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CHEK2;ESR1;NDRG1;TP63;WWTR1",0.000969918303690561
"CUDC-101","EN","freq25",296,29,545,8.97117856094827,9.10031936741728,1.98060389977111e-17,"ABL2;AKT1;ATM;BCL11A;CDKN1A;CHEK2;CTNNB1;ESR1;ETV4;KDR;KMT2D;KRAS;LCK;MDM2;MYC;NDRG1;NFATC2;NFE2L2;NOTCH1;PTEN;RB1;SLC34A2;SRC;SUZ12;SYK;TET2;TP53;VHL;WWTR1",5.83177814932604e-16
"CUDC-101","EN","freq50",70,14,545,20.1541880750268,20.6818654833956,2.06553274911045e-13,"AKT1;CHEK2;CTNNB1;ESR1;KMT2D;LCK;MYC;NFE2L2;NOTCH1;SRC;SYK;TET2;VHL;WWTR1",1.8245539283809e-11
"CUDC-101","EN","freq75",31,7,545,23.2407412456697,24.3672900915241,9.54839185179785e-08,"CHEK2;CTNNB1;KMT2D;LCK;MYC;TET2;WWTR1",2.53032384072643e-06
"CUDC-101","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"KMT2D;MYC;NFE2L2;NOTCH1;SUZ12;TET2;VHL",2.05845828099622e-05
"Belinostat","DSEN","freq25",11,2,545,17.542963051012,20.7618747881664,0.00801953945548264,"AKT1;WWTR1",0.0168664917119278
"Belinostat","DSEN","freq50",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"WWTR1",0.105927757171352
"Belinostat","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Belinostat","DSEN","top50",50,9,545,17.5422466173562,18.2823184630414,1.14567260110989e-08,"AKT1;CDKN1A;CHEK2;CHST11;ESR1;NDRG1;NFATC2;PTEN;WWTR1",2.76002944812837e-07
"Belinostat","EN","freq25",332,31,545,8.53365443206838,8.64808610011169,6.08990094302918e-18,"AKT1;BCL11A;CDKN1A;CHEK2;CHST11;CREBBP;CTNNB1;EGFR;ERBB2;ERBB3;ESR1;ETV4;KMT2A;KMT2D;LCK;MDM2;MYC;NDRG1;NFATC2;NFE2L2;NOTCH1;NRAS;RAF1;RB1;SLC34A2;SRC;TAL1;TCF3;TET2;TP63;WWTR1",3.22764749980547e-16
