drug,threshold,n_en_genes,n_dsen_shared_genes,n_dsen_tissue_genes,n_dsen_combined_genes,en_genes_shared_only_pct,en_genes_tissue_only_pct,en_genes_both_pct,en_genes_in_neither_dsen_block_pct,jaccard_en_vs_dsen_shared,jaccard_en_vs_dsen_combined,jaccard_dsen_shared_vs_tissue
Paclitaxel,0.5,4,0,1,1,0,0,0,100,0,0,0
Cyclopamine,0.5,0,28,0,28,NA,NA,NA,NA,0,0,0
AZ628,0.5,27,2,22,24,3.7037037037037037,40.74074074074074,0,55.55555555555556,0.03571428571428571,0.3076923076923077,0
Sorafenib,0.5,0,0,63,63,NA,NA,NA,NA,NA,0,0
Tozasertib,0.5,1,7,0,7,100,0,0,0,0.14285714285714285,0.14285714285714285,0
Imatinib,0.5,67,0,118,118,0,73.13432835820896,0,26.865671641791046,0,0.3602941176470588,0
NVP-TAE684,0.5,58,0,7,7,0,8.620689655172415,0,91.37931034482759,0,0.08333333333333333,0
Crizotinib,0.5,3,106,0,106,100,0,0,0,0.02830188679245283,0.02830188679245283,0
Saracatinib,0.5,38,4,60,63,7.894736842105263,36.8421052631579,2.6315789473684212,52.63157894736842,0.10526315789473684,0.21686746987951808,0.015873015873015872
S-Trityl-L-cysteine,0.5,1,2,10,12,0,0,0,100,0,0,0
Z-LLNle-CHO,0.5,6,0,3,3,0,16.666666666666668,0,83.33333333333333,0,0.125,0
Dasatinib,0.5,33,0,36,36,0,18.181818181818183,0,81.81818181818181,0,0.09523809523809523,0
GNF-2,0.5,38,0,39,39,0,55.26315789473684,0,44.73684210526316,0,0.375,0
CGP-60474,0.5,3,0,49,49,0,0,0,100,0,0,0
CGP-082996,0.5,43,0,67,67,0,18.6046511627907,0,81.3953488372093,0,0.0784313725490196,0
A-770041,0.5,0,0,52,52,NA,NA,NA,NA,NA,0,0
WH-4-023,0.5,21,0,13,13,0,47.61904761904762,0,52.38095238095238,0,0.4166666666666667,0
WZ-1-84,0.5,0,0,72,72,NA,NA,NA,NA,NA,0,0
BI-2536,0.5,30,3,0,3,6.666666666666667,0,0,93.33333333333333,0.06451612903225806,0.06451612903225806,0
BMS-536924_repl_62,0.5,11,0,2,2,0,9.090909090909092,0,90.9090909090909,0,0.08333333333333333,0
BMS-509744,0.5,0,0,2,2,NA,NA,NA,NA,NA,0,0
CMK,0.5,24,0,6,6,0,8.333333333333334,0,91.66666666666667,0,0.07142857142857142,0
