"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"KMT2A","OG;fusion",1,0,1,"bladder;breast;head_and_neck;hepatobiliary;pancreas;prostate"
"KMT2C","TSG",0,1,0,"bladder;blood;brain;breast;esophagus;head_and_neck;hepatobiliary;kidney;lung;pancreas;prostate;skin;stomach"
"KMT2D","OG;TSG",1,1,0,"bladder;blood;brain;breast;esophagus;head_and_neck;kidney;lung;ovary;pancreas;prostate;stomach;thyroid"
"KNL1","TSG;fusion",0,1,1,"multiple"
"KNSTRN","OG",1,0,0,"skin"
"KRAS","OG",1,0,0,"bladder;blood;brain;breast;cervix;colorectal;esophagus;head_and_neck;hepatobiliary;lung;ovary;pan-gastric;pan-gynecological and breast;pancreas;peripheral_nervous_system;skin;small_intestine;soft_tissue;stomach;testis;thymus;thyroid;uterus"
"LARP4B","TSG",0,1,0,"multiple"
"LATS1","TSG",0,1,0,"pan-gynecological and breast;skin"
"LATS2","TSG",0,1,0,"pleura;skin"
"LCK","OG;fusion",1,0,1,"multiple"
"LEF1","OG;TSG",1,1,0,"multiple"
"LEPROTL1","TSG",0,1,0,"bladder;breast"
"LMO1","OG;fusion",1,0,1,"multiple"
"LMO2","OG;fusion",1,0,1,"multiple"
"LPP","OG;fusion",1,0,1,"blood"
"LRIG3","TSG;fusion",0,1,1,"multiple"
"LRP1B","TSG",0,1,0,"blood;colorectal;esophagus;kidney;lung;skin;stomach"
"LYL1","OG;fusion",1,0,1,"multiple"
"LZTR1","TSG",0,1,0,"brain;hepatobiliary"
"MACC1","OG",1,0,0,"thyroid"
"MAF","OG;fusion",1,0,1,"multiple"
"MAFB","OG;fusion",1,0,1,"multiple"
"MALT1","OG;fusion",1,0,1,"blood"
"MAML2","OG;fusion",1,0,1,"blood;brain"
"MAP2K1","OG",1,0,0,"blood;colorectal;lung;skin;stomach"
"MAP2K2","OG",1,0,0,"skin;stomach"
"MAP2K4","OG;TSG",1,1,0,"breast;hepatobiliary;pan-gynecological and breast;pancreas;small_intestine"
"MAP3K1","OG;TSG",1,1,0,"breast;esophagus;pan-gastric;pan-gynecological and breast;stomach;thyroid"
"MAP3K13","OG;TSG",1,1,0,"breast"
"MAPK1","OG",1,0,0,"blood;cervix"
"MAX","TSG",0,1,0,"blood;brain;uterus"
"MDM2","OG",1,0,0,"breast;hepatobiliary"
"MDM4","OG",1,0,0,"multiple"
"MECOM","OG;fusion",1,0,1,"uterus"
"MED12","TSG",0,1,0,"adrenal_gland;blood;breast;head_and_neck;prostate;uterus;uvea"
"MEN1","TSG",0,1,0,"adrenal_gland;breast;hepatobiliary;pancreas;skin;thyroid"
"MET","OG",1,0,0,"brain;breast;kidney;lung;soft_tissue"
"MGMT","TSG",0,1,0,"multiple"
"MITF","OG",1,0,0,"breast"
"MLF1","TSG;fusion",0,1,1,"multiple"
"MLH1","TSG",0,1,0,"breast;head_and_neck;prostate;stomach;thyroid"
"MLLT10","OG;fusion",1,0,1,"multiple"
"MN1","OG;fusion",1,0,1,"multiple"
"MPL","OG",1,0,0,"blood;hepatobiliary"
"MRTFA","OG;TSG;fusion",1,1,1,"multiple"
"MSH2","TSG",0,1,0,"breast;prostate"
"MSH6","TSG",0,1,0,"blood;brain;colorectal;head_and_neck;thyroid"
"MSI2","OG;fusion",1,0,1,"multiple"
"MTCP1","OG;fusion",1,0,1,"multiple"
"MTOR","OG",1,0,0,"blood;brain;head_and_neck;kidney;parathyroid_gland;stomach;thyroid"
"MUTYH","TSG",0,1,0,"bone"
"MYB","OG;fusion",1,0,1,"brain;breast"
"MYC","OG;fusion",1,0,1,"blood;brain;breast;hepatobiliary;prostate"
"MYCL","OG",1,0,0,"multiple"
"MYCN","OG",1,0,0,"brain;peripheral_nervous_system;skin;uterus"
"MYD88","OG",1,0,0,"blood;esophagus"
"MYH9","TSG;fusion",0,1,1,"stomach"
"MYOD1","OG",1,0,0,"soft_tissue"
"N4BP2","TSG",0,1,0,"multiple"
"NAB2","TSG;fusion",0,1,1,"multiple"
"NBN","TSG",0,1,0,"multiple"
"NCOA2","OG;fusion",1,0,1,"breast"
"NCOA4","TSG;fusion",0,1,1,"multiple"
"NCOR1","TSG",0,1,0,"bladder;breast;hepatobiliary;prostate;thyroid"
"NCOR2","TSG",0,1,0,"prostate;stomach"
"NDRG1","TSG;fusion",0,1,1,"multiple"
"NF1","TSG;fusion",0,1,1,"adrenal_gland;bladder;blood;brain;breast;hepatobiliary;lung;ovary;pan-gynecological and breast;peripheral_nervous_system;skin;soft_tissue;stomach;thyroid"
"NF2","TSG",0,1,0,"brain;breast;hepatobiliary;kidney;pancreas;pleura;skin;thyroid"
"NFATC2","OG;fusion",1,0,1,"lung"
"NFE2L2","OG;TSG",1,1,0,"bladder;cervix;esophagus;head_and_neck;hepatobiliary;kidney;lung;pancreas;penis;thyroid;uterus"
"NFKB2","OG;TSG;fusion",1,1,1,"blood"
"NFKBIE","TSG",0,1,0,"skin"
"NKX2-1","OG;TSG",1,1,0,"multiple"
"NOTCH1","OG;TSG;fusion",1,1,1,"bladder;blood;brain;breast;esophagus;head_and_neck;hepatobiliary;lung;skin;soft_tissue"
"NOTCH2","OG;TSG",1,1,0,"bladder;blood;breast;esophagus;head_and_neck;hepatobiliary;skin;stomach;thyroid"
"NPM1","OG;fusion",1,0,1,"blood"
"NR4A3","OG;fusion",1,0,1,"multiple"
"NRAS","OG",1,0,0,"bladder;blood;brain;breast;colorectal;head_and_neck;hepatobiliary;lung;pan-gastric;peripheral_nervous_system;skin;soft_tissue;testis;thymus;thyroid;uterus"
"NRG1","TSG;fusion",0,1,1,"multiple"
"NSD2","OG;fusion",1,0,1,"blood"
"NSD3","OG;fusion",1,0,1,"multiple"
"NT5C2","OG",1,0,0,"multiple"
"NTHL1","TSG",0,1,0,"multiple"
"NTRK1","OG;TSG;fusion",1,1,1,"brain;breast;lung;soft_tissue"
"NTRK3","OG;fusion",1,0,1,"brain;breast;lung"
"NUP98","OG;fusion",1,0,1,"multiple"
"NUTM1","OG;fusion",1,0,1,"multiple"
"OLIG2","OG;fusion",1,0,1,"multiple"
"P2RY8","OG;fusion",1,0,1,"blood;lung"
"PABPC1","OG;TSG",1,1,0,"blood;brain;esophagus;pancreas"
"PALB2","TSG",0,1,0,"breast;pancreas;stomach"
"PATZ1","TSG;fusion",0,1,1,"head_and_neck"
"PAX3","OG;fusion",1,0,1,"multiple"
"PAX5","OG;TSG;fusion",1,1,1,"blood;lung"
"PBRM1","TSG",0,1,0,"breast;esophagus;hepatobiliary;kidney;pancreas;small_intestine;stomach;thymus;uvea"
"PBX1","OG;fusion",1,0,1,"multiple"
"PDCD1LG2","OG;fusion",1,0,1,"multiple"
"PDGFB","OG;fusion",1,0,1,"multiple"
"PDGFRA","OG;fusion",1,0,1,"brain;breast;lung"
"PDGFRB","OG;fusion",1,0,1,"soft_tissue"
"PER1","TSG;fusion",0,1,1,"multiple"
"PHF6","TSG",0,1,0,"blood;breast"
"PHOX2B","TSG",0,1,0,"multiple"
"PIK3CA","OG",1,0,0,"bladder;blood;brain;breast;cervix;colorectal;esophagus;head_and_neck;hepatobiliary;kidney;lung;ovary;pan-gastric;pan-gynecological and breast;pancreas;parathyroid_gland;prostate;skin;small_intestine;soft_tissue;stomach;thyroid;uterus;uvea"
"PIK3CB","OG",1,0,0,"breast;prostate"
