"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"TSC2","TSG",0,1,0,"head_and_neck;hepatobiliary;kidney;pancreas"
"TSHR","OG",1,0,0,"thyroid"
"U2AF1","OG",1,0,0,"blood;lung;pancreas;uterus"
"UBR5","OG",1,0,0,"stomach"
"USP44","TSG",0,1,0,"multiple"
"USP6","OG;fusion",1,0,1,"multiple"
"USP8","OG",1,0,0,"multiple"
"VAV1","fusion",0,0,1,"blood"
"VHL","TSG",0,1,0,"kidney;pancreas"
"WAS","OG",1,0,0,"multiple"
"WIF1","TSG;fusion",0,1,1,"lung"
"WNK2","TSG",0,1,0,"blood"
"WRN","TSG",0,1,0,"bone"
"WT1","OG;TSG;fusion",1,1,1,"blood;breast"
"WWTR1","OG;fusion",1,0,1,"multiple"
"XPA","TSG",0,1,0,"multiple"
"XPC","TSG",0,1,0,"multiple"
"XPO1","OG",1,0,0,"blood"
"YWHAE","TSG;fusion",0,1,1,"multiple"
"ZBTB16","TSG;fusion",0,1,1,"prostate"
"ZEB1","OG",1,0,0,"blood;esophagus;parathyroid_gland"
"ZFHX3","TSG",0,1,0,"bladder;esophagus;lung;prostate;uterus"
"ZMYM3","TSG",0,1,0,"blood;brain;breast;prostate"
"ZNF331","TSG;fusion",0,1,1,"multiple"
"ZNF521","OG;fusion",1,0,1,"blood;lung"
"ZNRF3","TSG",0,1,0,"adrenal_gland;prostate"
"ZRSR2","TSG",0,1,0,"blood"
