drug_name,target_gene,target_pathway,source
KIN001-270,CDK9,Other,GDSC
AICA Ribonucleotide,AMPK AGONIST,Metabolism,GDSC
Camptothecin,TOP1,DNA replication,GDSC
Vinblastine,MICROTUBULE DESTABILISER,Mitosis,GDSC
Cisplatin,DNA CROSSLINKER,DNA replication,GDSC
Cytarabine,ANTIMETABOLITE,Other,GDSC
Docetaxel,MICROTUBULE STABILISER,Mitosis,GDSC
Methotrexate,ANTIMETABOLITE,DNA replication,GDSC
Tretinoin,RETINOIC ACID,Other,GDSC
Gefitinib,EGFR,EGFR signaling,GDSC
Navitoclax,BCL2,Apoptosis regulation,GDSC
Vorinostat,HDAC INHIBITOR CLASS I,Chromatin histone acetylation,GDSC
Nilotinib,ABL1,ABL signaling,GDSC
Refametinib_repl_1014,MEK1,ERK MAPK signaling,GDSC
CI-1040,MEK1,ERK MAPK signaling,GDSC
Temsirolimus,MTOR,PI3K/MTOR signaling,GDSC
Olaparib_repl_1017,PARP1,Genome integrity,GDSC
Veliparib,PARP1,Genome integrity,GDSC
Bosutinib,SRC,"Other, kinases",GDSC
Lenalidomide,CRBN,Protein stability and degradation,GDSC
Axitinib,PDGFRA,RTK signaling,GDSC
AZD7762,CHEK1,Cell cycle,GDSC
GW441756,NTRK1,RTK signaling,GDSC
Lestauritinib,NA,NA,not_found
SNX-2112,HSP90AA1,Protein stability and degradation,GDSC
THZ-2-102-1,CDK7,Cell cycle,GDSC
SB216763,GSK3A,WNT signaling,GDSC
Erlotinib,EGFR,EGFR signaling,GDSC
Rapamycin,MTOR,PI3K/MTOR signaling,GDSC
Sunitinib,PDGFRA,RTK signaling,GDSC
PHA-665752,MET,RTK signaling,GDSC
MG-132,PROTEASOME,Protein stability and degradation,GDSC
Paclitaxel,MICROTUBULE STABILISER,Mitosis,GDSC
Cyclopamine,SMO,Other,GDSC
AZ628,BRAF,ERK MAPK signaling,GDSC
Sorafenib,PDGFRA,RTK signaling,GDSC
Tozasertib,AURKA,Mitosis,GDSC
Imatinib,ABL1,"Other, kinases",GDSC
NVP-TAE684,ALK,RTK signaling,GDSC
Crizotinib,MET,RTK signaling,GDSC
Saracatinib,ABL1,"Other, kinases",GDSC
S-Trityl-L-cysteine,KIF11,Mitosis,GDSC
Z-LLNle-CHO,GAMMA-SECRETASE,Other,GDSC
Dasatinib,ABL1,RTK signaling,GDSC
GNF-2,BCR-ABL,ABL signaling,GDSC
CGP-60474,CDK1,Cell cycle,GDSC
CGP-082996,CDK4,Cell cycle,GDSC
A-770041,LCK,"Other, kinases",GDSC
