"drug","mse_en","mse_dsen","mse_tglasso","pct_improvement_dsen","pct_improvement_tglasso","winner"
"Bicalutamide",0.000896285962269611,0.000891631178760159,0.000917526343521985,0.519341338077531,-2.36982192587155,"DSEN"
"Refametinib",0.0226659523789829,0.0202958638834012,0.0295163061213867,10.4566022903118,-30.2231012748258,"DSEN"
"Pictilisib_repl_1527",0.0195336365787173,0.0193128808225803,0.0200777543175274,1.13013137746979,-2.78554244939183,"DSEN"
"Pevonedistat",0.0143195379124747,0.0137532317535782,0.0162187095066107,3.95477956312511,-13.2627994404869,"DSEN"
"Doxorubicin",0.0408342979456531,0.0401117830988931,0.0425604991526672,1.76938231611477,-4.22733166445403,"DSEN"
"Etoposide",0.0476765596366027,0.0460470750865569,0.0514772521292228,3.41778971147658,-7.97182624247534,"DSEN"
"Gemcitabine",0.0914793289511101,0.0882308433944861,0.100065705295234,3.55105966984095,-9.38613831405864,"DSEN"
"Mitomycin-C",0.0430801560452443,0.0428150153097857,0.0460211866128096,0.615459087892209,-6.82688002447466,"DSEN"
"Vinorelbine",0.0310646725740386,0.0302809938266442,0.0326315625544614,2.52273300330658,-5.04396103544412,"DSEN"
"NSC-87877",0.00116535381744652,0.00115858411281901,0.00119569767315121,0.580914098890886,-2.6038320079629,"DSEN"
"Bicalutamide_repl_150",9.50773427515649e-05,9.23329793808004e-05,9.9540836359599e-05,2.88645358751291,-4.69459229597646,"DSEN"
"QS11",0.00715691888203361,0.00713816102127145,0.00737800336814344,0.262094080865561,-3.08910146606286,"DSEN"
"CP466722",0.0121935498985161,0.0112139040106474,0.0164984848308767,8.03413194698878,-35.3050175559169,"DSEN"
"Midostaurin",0.00676395013750186,0.00675833755883525,0.00688254826068945,0.082977824385362,-1.75338553325574,"DSEN"
"CHIR-99021_repl_154",0.00135477932694113,0.00134684313227158,0.00142990577539526,0.585792424768429,-5.54529043661695,"DSEN"
"Ponatinib",0.0193710128529999,0.015696484781486,0.0234739049126287,18.969209815711,-21.1805757952063,"DSEN"
"AZD6482_repl_156",0.0113510754875245,0.0110419571288586,0.0118973500016254,2.72325172187991,-4.81253529413392,"DSEN"
"JNK-9L",0.0167535903281805,0.0168512830444866,0.0176546215489531,-0.583115107821256,-5.3781380774067,"EN"
"PF-562271",0.00335982895166538,0.00333675974701766,0.00346258226653043,0.686618425508999,-3.05829006009719,"DSEN"
"HG6-64-1",0.0268010597222382,0.0249884507654813,0.0314807336992903,6.76319882699596,-17.4607796316693,"DSEN"
"JQ1_repl_163",0.0252868492876142,0.0244120786892727,0.0268527956951004,3.45938945730962,-6.19273041759781,"DSEN"
"JQ12",0.0261829882661656,0.0252850012635625,0.0275656794407309,3.42965819437618,-5.28087611891134,"DSEN"
"DMOG",0.035796306179342,0.0331503169590679,0.0424710167756665,7.39179402203542,-18.6463669264748,"DSEN"
"FTI-277",0.000848105342610962,0.000833771035938771,0.000898364056359958,1.69015639355149,-5.92599895601063,"DSEN"
"OSU-03012",0.0150452780849826,0.0149373165937324,0.016647276236142,0.717577240117362,-10.6478467337764,"DSEN"
"Shikonin",0.0314160572346138,0.0307776759152623,0.0345254920491896,2.03202239728586,-9.89759724256508,"DSEN"
"AKT inhibitor VIII",0.00301241259642181,0.00301890273642379,0.00331113441839644,-0.215446582904653,-9.91636478779357,"EN"
"Embelin",0.0106387461569014,0.010192957199949,0.0114754438309236,4.19023962389792,-7.86462673027902,"DSEN"
"FH535",0.0217595075944252,0.0216220592021802,0.0231909925742316,0.631670508390624,-6.57866440035227,"DSEN"
"PAC-1",0.0044959261472974,0.00416089309622079,0.00519252383639283,7.4519251451229,-15.4939753517564,"DSEN"
"IPA-3",0.0123536011556276,0.0117576309090339,0.0143513827601313,4.82426329849746,-16.171653749673,"DSEN"
"GSK650394",0.0154135411136554,0.0151455497124937,0.0159878576376315,1.73867509863958,-3.72605178616154,"DSEN"
"BAY-61-3606",0.0145731485175225,0.0134998728681451,0.0165075092727611,7.3647478997892,-13.2734580513796,"DSEN"
"5-Fluorouracil",0.0269509857686105,0.0241588756180719,0.0343306914545853,10.3599555671561,-27.3819508842228,"DSEN"
"Thapsigargin",0.0615350076023656,0.0611752219262183,0.0648713355236637,0.58468454001372,-5.42183718064551,"DSEN"
"Obatoclax Mesylate",0.0488491580349073,0.0473852472834513,0.0553869136221909,2.99679832845819,-13.3835583872536,"DSEN"
"BMS-754807",0.0337424085248395,0.0335027127639108,0.036997958389605,0.710369447255811,-9.64824387793457,"DSEN"
"Linsitinib",0.0138650399803667,0.0135557863024351,0.0149546876270587,2.23045644563242,-7.8589578409797,"DSEN"
"Bexarotene",0.00472998990826434,0.00471039873714834,0.00485830865103602,0.414190547886158,-2.71287561412084,"DSEN"
"Bleomycin",0.0788757615368962,0.0779986316740413,0.0833467489512017,1.11203980255025,-5.66839207278409,"DSEN"
"LFM-A13",0.000621358014091391,0.000619872956339106,0.000649106630564976,0.23900194712327,-4.46580165448766,"DSEN"
"GW-2580",0.00134182631607022,0.00134076939992466,0.00135331115911007,0.078766985928219,-0.855911298079572,"DSEN"
"Luminespib",0.0286033134474623,0.0282599600486667,0.0297682395140945,1.20039728762985,-4.07269622371513,"DSEN"
"Phenformin",0.0386342273750493,0.0365680962422648,0.0448989199163384,5.34792921501219,-16.2153949151704,"DSEN"
"Bryostatin 1",0.00144910770102019,0.00143590874554717,0.00148794085645592,0.910833298569028,-2.67979774094022,"DSEN"
"Pazopanib",0.00748750506701208,0.00741517503364619,0.00763447119481039,0.966009808588394,-1.96281840857515,"DSEN"
"Dacinostat",0.02765206352664,0.0261323461488323,0.0316770924351424,5.49585522376514,-14.5559802602966,"DSEN"
"Epothilone B",0.0435859776668126,0.0429947070671895,0.045739585437931,1.35656151651111,-4.94105647366999,"DSEN"
"GSK1904529A",0.000477240936981939,0.000465275988065661,0.000508197701233148,2.50710867176317,-6.48661123812615,"DSEN"
"BMS-345541",0.00747907441038767,0.00707917215010233,0.00956820799360716,5.34694854392566,-27.9330498479584,"DSEN"
"Tipifarnib",0.0369118292242239,0.0374529251943938,0.0393802926548379,-1.46591480710146,-6.68745895961732,"EN"
"Avagacestat_repl_205",0.000189075070004631,0.000189260578084329,0.000193011372353795,-0.0981134528700511,-2.08187274454934,"EN"
"Ruxolitinib",0.00489309709872542,0.00450726572579398,0.00506487758452014,7.885217994794,-3.51066987490329,"DSEN"
"AS601245",0.0075315827657025,0.00748179039363181,0.00817463439304907,0.661114318459538,-8.5380675928427,"DSEN"
"Ispinesib Mesylate",0.0194360362924191,0.0184414629405224,0.02232595737398,5.11716142598801,-14.8688808668674,"DSEN"
